2024-02-13,93.3000,93.9900,91.3900,92.6600,4595564,MMM
2024-02-12,93.1200,95.0600,93.0500,94.6300,4091695,MMM
2024-02-09,93.2000,93.3000,92.3900,92.9000,3669089,MMM
2024-02-08,94.1500,94.3800,92.7100,93.2000,3964295,MMM
2024-02-07,94.6000,94.7100,93.5000,93.8400,3780861,MMM
2024-02-06,92.7400,93.8500,92.4000,93.7600,3727668,MMM
2024-02-05,94.2500,94.2500,92.5800,92.7300,4476887,MMM
2024-02-02,95.2800,95.4000,94.2900,94.8700,3712641,MMM
2024-02-01,94.3900,96.0200,93.9400,95.9100,3297348,MMM
2024-01-31,95.9400,95.9400,94.1600,94.3500,6906829,MMM
2024-01-30,96.1700,96.5100,94.7800,95.7500,3200456,MMM
2024-01-29,96.0000,96.8900,95.4400,96.3800,3799983,MMM
2024-01-26,96.2200,96.9000,95.7900,95.9900,3720173,MMM
2024-01-25,93.7800,96.2800,93.6100,95.9800,6122942,MMM
2024-01-24,96.6400,97.0400,92.7300,93.2400,9321540,MMM
2024-01-23,100.8600,100.8600,94.1100,96.1000,27210880,MMM
2024-01-22,108.5000,109.4050,107.4000,108.0200,4916060,MMM
2024-01-19,106.7400,108.3600,105.1000,107.7600,3269495,MMM
2024-01-18,106.3300,106.7400,105.3410,106.4400,2493062,MMM
2024-01-17,106.8500,107.6600,105.5300,106.0800,2639507,MMM
1999-11-01,95.1300,96.1900,93.7500,94.0000,1091000
